"t","UserID","ConversionTagID","EventID","EventTypeID","EventDate","EntityID","PlacementID","SiteID","SearchAdID","AdGroupID","IP","CountryID","StateID","DMAID","CityID","ZipCode","AreaCode","BrowserCode","OSCode","Referrer","MobileDevice","MobileCarrier","AudienceID","ProductID","PCP"
1401839736,"c917239d-37d8-4f05-a8b9-f1f61b0a5012",0,"00000000-0000-0127-3879-118038509792",1,"6/4/2014 12:55:36 AM",20885002,10031554,82753,,,"1.79.68.6","392","9515","-1","434","205-0021",,0,21,,"DoCoMo SC-06D",,"-1","-1",
1401770766,"c3a017cd-b419-4450-99bc-72968a42dd26",0,"00000000-0000-0691-7752-475827220859",1,"6/3/2014 5:46:06 AM",20727110,9964906,74239,,,"123.217.15.21","392","9431","-1","422","989-2401",,30,22,"http://a.rfihub.com/sed?w=300&h=250&co=sej%3Afalse%2CnewUser%3Afalse%2CuV%3A0%2CuG%3A0%2CscoreMicroConversions%3A44%2Coptimize%3Afalse%2CserverId%3Apnc-67%2CscoreMicroClicks%3A0%2Cbt%3A1401770764687%2Chci%3Ac692428444881618046%2Curl%3Apnc-67.pnc-rtb1.rfihub.net%2CbB%3Atrue%2Cmt%3A1%2Cuuid%3A698620894304987066%2CexId%3A5443906406260669018&ep=0.99624&ri=3685bc2171f88c3077e7b78ce54a3b6a&rs=&ai=720617&rt=169303&re=20787&ug=&pv=0&ra=7707729440.6248323042638495&rb=345&ca=&rc=13.0&rd=&ua=&ub=&uc=&ud=&ue=&pa=ppre7707728761730&pb=&pc=&pd=&pg=&ct=1401770772944&di=&app=0&pe=http%3A%2F%2Ft.jp.msn.com%2F&pf=",,,"-1","-1",
1401776835,"c3a017cd-b419-4450-99bc-72968a42dd26",0,"00000000-0000-0053-8723-801893383549",1,"6/3/2014 7:27:15 AM",20727110,9964906,74239,,,"123.217.15.21","392","9431","-1","422","989-2401",,30,22,"http://a.rfihub.com/sed?w=300&h=250&co=sej%3Afalse%2CscoreMicroConversions%3A857%2CexId%3A6809553475295740040%2CuG%3A0%2CserverId%3Apnc-7%2Curl%3Apnc-7.pnc-rtb1.rfihub.net%2Chci%3Ac692428444881618046%2Coptimize%3Afalse%2Cmt%3A1%2CnewUser%3Afalse%2CuV%3A0%2CbB%3Atrue%2Cuuid%3A698620894304987066%2Cbt%3A1401776834464%2CscoreMicroClicks%3A0&ep=0.99624&ri=c922f78265996fae94a3dfb83213f288&rs=&ai=720617&rt=276445&re=20787&ug=&pv=0&ra=7768426880.10118476673494297&rb=345&ca=&rc=13.0&rd=&ua=&ub=&uc=&ud=&ue=&pa=ppre7768426206193&pb=&pc=&pd=&pg=&ct=1401776842688&di=&app=0&pe=http%3A%2F%2Ft.jp.msn.com%2F&pf=",,,"-1","-1",
1402041672,"c3a017cd-b419-4450-99bc-72968a42dd26",0,"00000000-0000-0258-3710-761509661616",1,"6/6/2014 9:01:12 AM",20727104,9964905,74239,,,"123.217.15.21","392","9431","-1","422","989-2401",,30,22,"http://a.rfihub.com/sed?w=300&h=250&co=sej%3Afalse%2CscoreMicroClicks%3A0%2Cbt%3A1402041671920%2CnewUser%3Afalse%2Curl%3Apnc-6.pnc-rtb1.rfihub.net%2Coptimize%3Afalse%2CbB%3Atrue%2CuV%3A0%2CuG%3A0%2CexId%3A2990835977820143401%2Cmt%3A1%2Chci%3Ac692428444881618046%2Cuuid%3A698620894304987066%2CserverId%3Apnc-6%2CscoreMicroConversions%3A6&ep=0.995894&ri=c949af64ebb31b55a2361c16ae6e13dc&rs=&ai=720607&rt=276445&re=20787&ug=&pv=0&ra=416736400.7358383025923529&rb=345&ca=&rc=13.0&rd=&ua=&ub=&uc=&ud=&ue=&pa=ppre416735779077&pb=&pc=&pd=&pg=&ct=1402041673640&di=&app=0&pe=http%3A%2F%2Ft.jp.msn.com%2F&pf=",,,"-1","-1",
1401722402,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0686-7991-363344305874",1,"6/2/2014 4:20:02 PM",20885001,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,"http://www.iza.ne.jp/kiji/world/news/140324/wor14032419130028-n1.html","Generic Android 4.2",,"-1","-1",
1401722407,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0116-0204-756328040688",1,"6/2/2014 4:20:07 PM",20885001,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,,"Generic Android 4.2",,"-1","-1",
1401723694,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0226-3911-439168385682",1,"6/2/2014 4:41:34 PM",20885001,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,"http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-1162340048571590&format=300x250&output=html&h=250&slotname=3330483862&adk=1094210477&w=300&lmt=1401691288&flash=0&url=http%3A%2F%2Fkabooo.net%2Farchives%2F39071263.html&dt=1401723688622&bpp=37&shv=r20140527&cbv=r20140417&saldr=aa&correlator=1401723688883&frm=20&ga_vid=76837596.1396450537&ga_sid=1401723688&ga_hid=403886595&ga_fc=1&u_tz=540&u_his=9&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=32&u_nplug=0&u_nmime=0&dff=arial&dfs=14&adx=30&ady=239&biw=360&bih=455&eid=317150304&oid=3&rx=0&eae=0&fc=3&vis=0&fu=0&ifi=1&xpc=awkWac6jRe&p=http%3A//kabooo.net&dtd=288","Generic Android 4.2",,"-1","-1",
1401723695,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0652-3771-575990454984",1,"6/2/2014 4:41:35 PM",20885001,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,"http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-1162340048571590&format=300x250&output=html&h=250&slotname=3330483862&adk=1109404337&w=300&lmt=1401691291&flash=0&url=http%3A%2F%2Fkabooo.net%2Farchives%2F39071263.html&dt=1401723688693&bpp=47&shv=r20140527&cbv=r20140417&saldr=aa&prev_fmts=300x250%2C300x250&correlator=1401723688883&frm=20&ga_vid=76837596.1396450537&ga_sid=1401723688&ga_hid=403886595&ga_fc=1&u_tz=540&u_his=9&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=32&u_nplug=0&u_nmime=0&dff=arial&dfs=14&adx=30&ady=9148&biw=360&bih=455&eid=317150304&oid=3&rx=0&eae=0&fc=3&vis=0&fu=0&ifi=3&xpc=BRHnoXdbhf&p=http%3A//kabooo.net&dtd=2383","Generic Android 4.2",,"-1","-1",
1401723714,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0878-0976-189897685979",1,"6/2/2014 4:41:54 PM",20885002,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,"http://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-1162340048571590&format=300x250&output=html&h=250&slotname=3330483862&adk=1094210477&w=300&lmt=1401691310&flash=0&url=http%3A%2F%2Fkabooo.net%2Farchives%2F39071263.html&dt=1401723710719&bpp=35&shv=r20140527&cbv=r20140417&saldr=aa&correlator=1401723710786&frm=20&ga_vid=76837596.1396450537&ga_sid=1401723688&ga_hid=975277909&ga_fc=1&u_tz=540&u_his=9&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=32&u_nplug=0&u_nmime=0&dff=arial&dfs=14&adx=30&ady=355&biw=360&bih=455&eid=317150304&oid=3&rx=0&eae=0&fc=3&vis=0&fu=0&ifi=1&xpc=IdNpAmAoHM&p=http%3A//kabooo.net&dtd=94","Generic Android 4.2",,"-1","-1",
1401723772,"513facd7-9074-4117-8857-298c30a54d3f",0,"00000000-0000-0715-3132-764597808594",1,"6/2/2014 4:42:52 PM",20885002,10031554,82753,,,"220.53.214.73","392","9492","-1","2767","103-0013",,0,21,,"Generic Android 4.2",,"-1","-1",
